title,link,description,crawled_at
Hàn Quốc đối mặt khủng hoảng thiếu bác sĩ,https://vnexpress.net/han-quoc-doi-mat-khung-hoang-thieu-bac-si-4884726.html,"Thiếu bác sĩ đang đẩy hệ thống y tế Hàn Quốc và nhiều nước châu Á vào khủng hoảng, buộc chính phủ phải lùi bước và tìm hướng cải cách sâu rộng.",2025-05-12 14:57:59
Tình dục có giúp tăng miễn dịch?,https://vnexpress.net/tinh-duc-co-giup-tang-mien-dich-4881452.html,"Tình dục không chỉ mang lại khoái cảm, tăng gắn kết trong quan hệ tình cảm mà còn mang nhiều lợi ích đến sức khỏe thể chất, bao gồm ảnh hưởng tích cực đến hệ thống miễn dịch.",2025-05-12 14:57:59
6 xét nghiệm cần làm trước khi thụ tinh ống nghiệm,https://vnexpress.net/6-xet-nghiem-can-lam-truoc-khi-thu-tinh-ong-nghiem-4884718.html,"Vợ chồng hiếm muộn nên xét nghiệm nội tiết, tinh dịch đồ trước khi thụ tinh ống nghiệm (IVF) để bác sĩ có cơ sở đánh giá phù hợp, tăng tỷ lệ thành công.",2025-05-12 14:57:59
Dấu hiệu cảnh báo nhiễm trùng sau tiêm khớp,https://vnexpress.net/dau-hieu-canh-bao-nhiem-trung-sau-tiem-khop-4884721.html,"Sưng, nóng, đỏ, đau, chảy dịch, sốt sau khi tiêm khớp là dấu hiệu cảnh báo nhiễm trùng ở nhiều mức độ, có thể cần điều trị khẩn cấp.",2025-05-12 14:57:59
5 sai lầm khi ăn đạm dễ gây tổn thương thận,https://vnexpress.net/5-sai-lam-khi-an-dam-de-gay-ton-thuong-than-4884713.html,"Ăn quá nhiều đạm từ động vật, nguồn đạm kém chất lượng và thiếu hụt các dưỡng chất khác có thể dẫn đến suy giảm chức năng thận.",2025-05-12 14:57:59
Vô kinh do stress,https://vnexpress.net/vo-kinh-do-stress-4884672.html,"TP HCMChị Lam, 35 tuổi, không có kinh nguyệt ba tháng, bác sĩ chẩn đoán vô kinh thứ phát do căng thẳng kéo dài.",2025-05-12 14:57:59
Lợi ích bất ngờ khi ăn đu đủ lúc bụng đói,https://vnexpress.net/loi-ich-bat-ngo-khi-an-du-du-luc-bung-doi-4884638.html,"Ăn đu đủ khi đó có thể thúc đẩy quá trình giải độc gan, tăng cường tiêu hóa, giảm đầy hơi và ổn định độ pH của dạ dày.",2025-05-12 14:57:59
U bã đậu nặng 2 kg chèn ép thần kinh đùi người phụ nữ,https://vnexpress.net/u-ba-dau-nang-2-kg-chen-ep-than-kinh-dui-nguoi-phu-nu-4884637.html,"TP HCMChị Loan, 33 tuổi, có u bã đậu ở mông, trong ba năm to 40 cm, chèn ép thần kinh đùi.",2025-05-12 14:57:59
Vàng da và ứ mật sơ sinh khác nhau thế nào,https://vnexpress.net/vang-da-va-u-mat-so-sinh-khac-nhau-the-nao-4884614.html,"Vàng da và ứ mật sơ sinh đều liên quan đến chức năng gan, có biểu hiện ban đầu là vàng da, vàng mắt nhưng khác nhau về nguyên nhân, cách điều trị.",2025-05-12 14:57:59
Khối u lớn đẩy lệch vách ngăn giữa não cô gái,https://vnexpress.net/khoi-u-lon-day-lech-vach-ngan-giua-nao-co-gai-4884516.html,"TP HCMThảo, 20 tuổi, đau đầu kéo dài, bác sĩ khám phát hiện khối u 6 cm gây giãn não thất, đẩy lệch vách ngăn giữa hai bán cầu não.",2025-05-12 14:57:59
Rối loạn tiền đình ở tuổi 15,https://vnexpress.net/roi-loan-tien-dinh-o-tuoi-15-4884515.html,"TP HCMNhung, 15 tuổi, chóng mặt, choáng váng, mất thăng bằng khi di chuyển, nôn ói, đau đầu, bác sĩ chẩn đoán rối loạn chức năng tiền đình. 16",2025-05-12 14:57:59
"Ăn uống thiếu lành mạnh, ít vận động khiến ung thư đại tràng trẻ hóa",https://vnexpress.net/an-uong-thieu-lanh-manh-it-van-dong-khien-ung-thu-dai-trang-tre-hoa-4884407.html,"Lối sống hiện đại với việc ăn uống thiếu lành mạnh, ít vận động, căng thẳng kéo dài là ""ngòi nổ"" khiến ung thư đại trực tràng bùng phát mạnh mẽ, đặc biệt ở giới trẻ. 14",2025-05-12 14:57:59
'Sỏi im lặng' âm thầm gây biến chứng nặng,https://vnexpress.net/soi-im-lang-am-tham-gay-bien-chung-nang-4884329.html,"Sỏi tiết niệu là bệnh lý phổ biến, có thể gây đau đớn dữ dội song một số sỏi nhỏ hoặc nằm yên trong đường tiết niệu không gây triệu chứng rõ ràng, được gọi là ""sỏi im lặng"".",2025-05-12 14:57:59
Chuyên gia chỉ ra 4 thực phẩm nên loại khỏi bếp để sống thọ,https://vnexpress.net/chuyen-gia-chi-ra-4-thuc-pham-nen-loai-khoi-bep-de-song-tho-4884235.html,"Chuyên gia Dan Buettner gợi ý loại bỏ một số thực phẩm khỏi nhà bếp nhằm kéo dài tuổi thọ, gồm thịt chế biến sẵn, dồ ngọt, đồ uống có đường và thức ăn vặt nhiều muối.",2025-05-12 14:57:59
Thứ trưởng Y tế kêu gọi tập thể dục ít nhất 30 phút mỗi ngày,https://vnexpress.net/thu-truong-y-te-keu-goi-tap-the-duc-it-nhat-30-phut-moi-ngay-4884343.html,"Thứ trưởng Y tế Trần Văn Thuấn kêu gọi người dân hạn chế thức ăn nhanh, nước ngọt có đường, tăng tiêu thụ rau quả, cá, duy trì vận động thể lực tối thiểu 30 phút mỗi ngày. 26",2025-05-12 14:57:59
Mắc ung thư hiếm ở tuổi 20,https://vnexpress.net/mac-ung-thu-hiem-o-tuoi-20-4884246.html,"HÀ NỘIChàng trai 20 tuổi, đi khám do đau hông lưng âm ỉ, đau bẹn trái, uống thuốc không đỡ, kết quả phát hiện ung thư hiếm gặp, di căn phổi, não, gan.",2025-05-12 14:57:59
Vì sao dễ đổ bệnh khi mưa nắng thất thường?,https://vnexpress.net/vi-sao-de-do-benh-khi-mua-nang-that-thuong-4881395.html,"Thời tiết chuyển mùa, mưa nắng thất thường khiến miễn dịch cơ thể kém đi, trong khi siêu vi, virus trở nên mạnh mẽ hơn, dễ tấn công gây bệnh hô hấp.",2025-05-12 14:57:59
4 món không nên dùng chung với sầu riêng,https://vnexpress.net/4-mon-khong-nen-dung-chung-voi-sau-rieng-4883642.html,"Rượu, cà phê, thực phẩm cay nóng hay các loại thịt bò, cừu, chó và hải sản kết hợp với sầu riêng tạo phản ứng không tốt cho cơ thể.",2025-05-12 14:57:59
Cấp cứu cũng phải chờ đến lượt,https://vnexpress.net/cap-cuu-cung-phai-cho-den-luot-4884200.html,"Nam thanh niên 18 tuổi bị tai nạn giao thông vào viện cấp cứu, đang đợi kết quả kiểm tra thì người nhà xông vào phòng la to ""tại sao lâu vậy, cấp cứu mà phải chờ"". 229",2025-05-12 14:57:59
"Đến 30/9, tất cả cơ sở y tế phải dùng bệnh án điện tử",https://vnexpress.net/den-30-9-tat-ca-co-so-y-te-phai-dung-benh-an-dien-tu-4884292.html,"Chính phủ và Bộ Y tế đang nỗ lực thúc đẩy chuyển đổi số với mục tiêu đến ngày 30/9, 100% bệnh viện cả nước sẽ triển khai bệnh án điện tử.",2025-05-12 14:57:59
6 dấu hiệu cảnh báo axit uric tăng,https://vnexpress.net/6-dau-hieu-canh-bao-axit-uric-tang-4883789.html,"Nồng độ axit uric trong máu cao không chỉ gây sưng, cứng khớp, đau đớn mà còn mệt mỏi, suy giảm chức năng thận.",2025-05-12 14:57:59
Những thời điểm nên khám sức khỏe sinh sản,https://vnexpress.net/nhung-thoi-diem-nen-kham-suc-khoe-sinh-san-4884319.html,"Nữ giới nên đi khám sớm từ khi dậy thì hoặc có quan hệ tình dục để phòng tránh bệnh, bảo vệ sức khỏe tốt hơn.",2025-05-12 14:57:59
Lợi ích của kẽm và L- arginine với sức khỏe nam giới,https://vnexpress.net/loi-ich-cua-kem-va-l-arginine-voi-suc-khoe-nam-gioi-4884238.html,"Kẽm hỗ trợ sản xuất testosterone và cải thiện chất lượng tinh trùng, trong khi L-arginine thúc đẩy sản sinh nitric oxide giúp tăng khả năng cương dương.",2025-05-12 14:57:59
"Việt Nam và Nga hợp tác nghiên cứu, sản xuất vaccine",https://vnexpress.net/viet-nam-va-nga-hop-tac-nghien-cuu-san-xuat-vaccine-4884341.html,"NGACông ty Vắc xin Việt Nam VNVC và Quỹ Đầu tư Trực tiếp của Nga RDIF ký kết hợp tác chiến lược về nghiên cứu khoa học, chuyển giao công nghệ vaccine, thuốc sinh học.",2025-05-12 14:57:59
Capybara có chứa virus dại không?,https://vnexpress.net/capybara-co-chua-virus-dai-khong-4884181.html,"Capybara có chứa virus dại không? Tôi muốn cho con đi xem capybara thường xuyên vì con rất thích, có cần chủng ngừa dại cho con? (Đăng Châu, 35 tuổi, TP HCM)",2025-05-12 14:57:59
Nguy cơ nhiễm sán dây lợn khi ăn lòng se điếu,https://vnexpress.net/nguy-co-nhiem-san-day-lon-khi-an-long-se-dieu-4884236.html,Ăn lòng se điếu không được rửa sạch hoặc nấu chưa chín kỹ có thể nhiễm sán dây lợn.,2025-05-12 14:57:59
Kiểm tra để biết bạn có tiếp xúc với chất gây ung thư,https://vnexpress.net/kiem-tra-de-biet-ban-co-tiep-xuc-voi-chat-gay-ung-thu-4884175.html,"Một số tác nhân gây ung thư có thể tồn tại tiềm ẩn trong thức ăn, không khí hoặc trong môi trường làm việc, nhận biết góp phần phòng ngừa, giảm nguy cơ mắc bệnh.",2025-05-12 14:57:59
"5 món ăn giúp an thần, dễ ngủ",https://vnexpress.net/5-mon-an-giup-an-than-de-ngu-4884167.html,"Hạt dẻ cười, quả kiwi cung cấp hormone giấc ngủ, còn quả dứa chứa magiê giúp thư giãn cơ bắp, dễ vào giấc hơn.",2025-05-12 14:57:59
5 món ăn hỗ trợ cơ thể thanh lọc độc tố,https://vnexpress.net/5-mon-an-ho-tro-co-the-thanh-loc-doc-to-4884165.html,"Không chỉ có nghệ mà rau xanh, quả mọng, ngũ cốc nguyên hạt cũng giàu dinh dưỡng, giúp cơ thể loại bỏ độc tố, tăng miễn dịch và phục hồi tốt hơn.",2025-05-12 14:57:59
5 món giúp giảm cân nhưng không nên ăn nhiều,https://vnexpress.net/5-mon-giup-giam-can-nhung-khong-nen-an-nhieu-4884089.html,"Quả bơ, bông cải xanh, cá có hàm lượng cao chất béo lành mạnh, protein và chất xơ giúp tăng cảm giác no, song ăn nhiều dễ gây đầy bụng, thừa calo.",2025-05-12 14:57:59
"Cấp cứu đột quỵ muộn, nguy cơ tàn phế cao",https://vnexpress.net/cap-cuu-dot-quy-muon-nguy-co-tan-phe-cao-4884213.html,"Bệnh viện Hoàn Mỹ khảo sát 179 ca cấp cứu đột quỵ ghi nhận từ lúc khởi phát triệu chứng đến khi vào viện là 16 giờ, trong khi thời gian vàng 4,5-6 giờ, dẫn đến tỷ lệ tàn phế cao.",2025-05-12 14:57:59
Uống nhiều matcha latte có tốt?,https://vnexpress.net/uong-nhieu-matcha-latte-co-tot-4882911.html,"Matcha latte có lợi cho sức khỏe, song cần kiểm soát lượng dùng, thời điểm sử dụng và chọn loại nguyên chất, an toàn.",2025-05-12 14:57:59
Mổ đặt 'ống thoát nước' cứu mắt bệnh nhân cườm,https://vnexpress.net/mo-dat-ong-thoat-nuoc-cuu-mat-benh-nhan-cuom-4884029.html,"NINH BÌNHNgười đàn ông 75 tuổi bị cườm nước (glaucoma) nhiều năm, thị lực 1/10, sử dụng bốn loại thuốc nhỏ mắt nhưng không thể kiểm soát nhãn áp, được bác sĩ mổ kỹ thuật mới để dẫn lưu thủy dịch.",2025-05-12 14:57:59
Ai không nên ăn sầu riêng?,https://vnexpress.net/ai-khong-nen-an-sau-rieng-4883630.html,"Sầu riêng tính nóng, nhiều calo, không phù hợp với người bị mụn nhọt, mang thai, cảm lạnh, táo bón, bệnh mạn tính, người già hoặc đang giảm cân.",2025-05-12 14:57:59
Vợ hiến tạng của chồng ghép cứu 4 người,https://vnexpress.net/vo-hien-tang-cua-chong-ghep-cuu-4-nguoi-4884016.html,"Người đàn ông 50 tuổi bị tai nạn lao động chết não, được vợ con hiến tạng ghép cho 4 bệnh nhân. 20",2025-05-12 14:57:59
Bé trai 5 tuổi nghịch dây giải rút tự 'thắt cổ' mình,https://vnexpress.net/be-trai-5-tuoi-nghich-day-giai-rut-tu-that-co-minh-4883914.html,"HÀ NỘIBé trai 5 tuổi nghịch dây giải rút, tự cuốn vào cổ rồi treo mình trên dây mắc màn, nhập viện trong tình trạng tím tái, lơ mơ.",2025-05-12 14:57:59
Phát hiện ca bệnh giun rồng thứ 26,https://vnexpress.net/phat-hien-ca-benh-giun-rong-thu-26-4883962.html,"PHÚ THỌNgười đàn ông 47 tuổi nổi các đường ngoằn ngoèo dưới da, bác sĩ phát hiện nhiễm giun rồng, là ca thứ 26 được công bố tại Việt Nam.",2025-05-12 14:57:59
Ca não mô cầu tăng ở miền Nam cảnh báo dịch,https://vnexpress.net/ca-nao-mo-cau-tang-o-mien-nam-canh-bao-dich-4883918.html,"8/20 tỉnh thành phía Nam ghi nhận 12 ca bệnh não mô cầu trong 4 tháng đầu năm, tăng 9 ca so với cùng kỳ năm ngoái.",2025-05-12 14:57:59
Dấu hiệu nhận biết lòng se điếu giả,https://vnexpress.net/dau-hieu-nhan-biet-long-se-dieu-gia-4883550.html,"Lòng se điếu giả thường có màu trắng bệch, đều màu bất thường, không có gân máu hay phần mỡ tự nhiên. 22",2025-05-12 14:57:59
Những người bỏ điều trị HIV,https://vnexpress.net/nhung-nguoi-bo-dieu-tri-hiv-4881852.html,"Long, 23 tuổi, một bệnh nhân HIV, trốn khỏi phòng trọ, để lại vỉ ARV (thuốc trị bệnh) chưa dùng hết và chiếc điện thoại ghi nhật ký.",2025-05-12 14:57:59
Có phải 'ăn gì bổ nấy'?,https://vnexpress.net/co-phai-an-gi-bo-nay-4883692.html,"Nhiều người nghĩ rằng ăn gì bổ nấy, như ăn lòng bổ ruột, ăn tiết bổ máu hay ăn tim gan bổ tim gan, điều này có đúng? (Mai, 37 tuổi, Hà Nội)",2025-05-12 14:57:59
8 nguyên nhân gây teo bộ phận sinh dục,https://vnexpress.net/8-nguyen-nhan-gay-teo-bo-phan-sinh-duc-4864664.html,"Rối loạn nội tiết tố, thiếu androgen, rối loạn cương, phẫu thuật tuyến tiền liệt, béo phì, ít vận động có thể khiến dương vật bị teo, giảm kích thước.",2025-05-12 14:57:59
6 bài tập giảm mỏi mắt,https://vnexpress.net/6-bai-tap-giam-moi-mat-4882874.html,Chớp mắt liên tục để kích thích nước mắt tiết ra hoặc nhắm mắt và úp tay lên giữ nguyên trong 30 giây cũng làm dịu cơn nhức mỏi.,2025-05-12 14:57:59
Những bệnh dễ mắc khi trị hôi nách ở cơ sở không uy tín,https://vnexpress.net/nhung-benh-de-mac-khi-tri-hoi-nach-o-co-so-khong-uy-tin-4884174.html,"Cơ sở điều trị hôi nách ""chui"" thường không đảm bảo vô trùng, gây rủi ro cho người sử dụng dịch vụ như tăng nguy cơ nhiễm trùng, mắc uốn ván, viêm gan B.",2025-05-12 14:57:59
Vì sao estrogen quan trọng với sức khỏe nữ giới?,https://vnexpress.net/vi-sao-estrogen-quan-trong-voi-suc-khoe-nu-gioi-4884125.html,"Estrogen giúp phụ nữ duy trì làn da và sắc vóc, nếu suy giảm lượng hormone này có thể gây ra các vấn đề sức khỏe, sinh lý.",2025-05-12 14:57:59
9 vấn đề sức khỏe thường gặp ở nam giới,https://vnexpress.net/9-van-de-suc-khoe-thuong-gap-o-nam-gioi-4884075.html,"Đổ mồ hôi nhiều kèm mùi cơ thể nặng, hói đầu, vòng bụng lớn, tuyến tiền liệt phì đại là những tình trạng phổ biến ở nam giới, nhất là khi lớn tuổi.",2025-05-12 14:57:59
6 thói quen âm thầm gây hại tim,https://vnexpress.net/6-thoi-quen-am-tham-gay-hai-tim-4884019.html,"Căng thẳng thường xuyên gây áp lực lên tim, cộng thêm ngủ không đủ giấc, uống nhiều rượu có thể làm tăng huyết áp, cholesterol, thúc đẩy tình trạng viêm.",2025-05-12 14:57:59
