title,link,description
Doanh nghiệp đầu tư cho công nghệ để chiếm ưu thế cạnh tranh,https://vnexpress.net/doanh-nghiep-dau-tu-cho-cong-nghe-de-chiem-uu-the-canh-tranh-4869134.html,"Hơn ba tháng kể từ khi Nghị quyết số 57 về đột phá phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số được ban hành, nhiều doanh nghiệp cho biết ""mạnh dạn đầu tư công nghệ để tận dụng cơ hội mới""."
"Sóng địa chấn sau động đất 7,7 độ khiến tường nhà ở TP HCM nứt",https://vnexpress.net/song-dia-chan-sau-dong-dat-7-7-do-khien-tuong-nha-o-tp-hcm-nut-4868736.html,"Việc TP HCM ở cách xa tâm chấn động đất Myanmar hàng nghìn km nhưng một số tòa nhà cao tầng bị rung lắc và rạn nứt tường là do sóng địa chấn lan truyền, nền địa chất yếu và chất lượng xây dựng. 11"
Taxi bay không người lái Trung Quốc sắp hoạt động thương mại,https://vnexpress.net/taxi-bay-khong-nguoi-lai-trung-quoc-sap-hoat-dong-thuong-mai-4868822.html,Nhà chức trách hàng không dân sự Trung Quốc cấp phép cho công ty EHang bắt đầu hoạt động thương mại ở độ cao thấp với mẫu taxi điện cất hạ cánh thẳng đứng EH216-S. 25
Thước phim từ tàu chở người đầu tiên bay qua cực Trái Đất,https://vnexpress.net/thuoc-phim-tu-tau-cho-nguoi-dau-tien-bay-qua-cuc-trai-dat-4868925.html,Phi hành đoàn Fram2 của SpaceX gửi về những hình ảnh ngoạn mục từ chuyến bay vũ trụ qua Bắc Cực và Nam Cực.
Dự án xây hầm 91 km cho máy gia tốc hạt khổng lồ,https://vnexpress.net/du-an-xay-ham-91-km-cho-may-gia-toc-hat-khong-lo-4868624.html,"Dự án máy gia tốc hạt lớn nhất thế giới trị giá khoảng 17 tỷ USD, gây nhiều tranh cãi về chi phí, quy mô và tác động môi trường."
Cầu vượt lớn nhất thế giới dành cho động vật hoang dã,https://vnexpress.net/cau-vuot-lon-nhat-the-gioi-danh-cho-dong-vat-hoang-da-4868320.html,MỸCác nhà chức trách bang California bắt tay vào xây dựng cầu vượt dành cho động vật hoang dã lớn nhất vắt ngang qua cao tốc 10 làn. 13
Nguồn tia X mạnh nhất thế giới sáng gấp 1.000 tỷ lần Mặt Trời,https://vnexpress.net/nguon-tia-x-manh-nhat-the-gioi-sang-gap-1-000-ty-lan-mat-troi-4868332.html,"Cơ sở Nguồn photon năng lượng cao (HEPS) sẽ tạo ra các chùm tia X sáng gấp 1.000 tỷ lần bề mặt Mặt Trời, mở ra tiềm năng nghiên cứu trong nhiều lĩnh vực."
Sáng kiến Khoa học 2025 nhận hồ sơ đến ngày 30/3,https://vnexpress.net/sang-kien-khoa-hoc-2025-nhan-ho-so-den-ngay-30-3-4866946.html,
Bên trong Trung tâm điều khiển và vận hành vệ tinh Việt Nam,https://vnexpress.net/ben-trong-trung-tam-dieu-khien-va-van-hanh-ve-tinh-viet-nam-4860202.html,"Hệ thống mặt đất tại Khu công nghệ cao Hòa Lạc, Hà Nội, bao gồm anten đường kính 9,3 m trung tâm điều khiển và vận hành vệ tinh, sẵn sàng thu nhận tín hiệu, xử lý dữ liệu khi vệ tinh của Việt Nam bay vào quỹ đạo."
Việt Nam - Indonesia ký ý định thư về khoa học công nghệ,https://vnexpress.net/viet-nam-indonesia-ky-y-dinh-thu-ve-khoa-hoc-cong-nghe-4859415.html,
'Hậu kiểm với hàng hóa rủi ro thấp để giảm thủ tục hành chính',https://vnexpress.net/hau-kiem-voi-hang-hoa-rui-ro-thap-de-giam-thu-tuc-hanh-chinh-4858925.html,
Hai nhà khoa học nữ được trao giải thưởng Kovalevskaia 2024,https://vnexpress.net/hai-nha-khoa-hoc-nu-duoc-trao-giai-thuong-kovalevskaia-2024-4858434.html,
Chính phủ sẽ xây dựng cơ chế thử nghiệm công nghệ mới,https://vnexpress.net/chinh-phu-se-xay-dung-co-che-thu-nghiem-cong-nghe-moi-4838557.html,
TP HCM triển khai các chương trình hỗ trợ đổi mới sáng tạo,https://vnexpress.net/tp-hcm-trien-khai-cac-chuong-trinh-ho-tro-doi-moi-sang-tao-4828871.html,
Hệ sinh thái khởi nghiệp sáng tạo Việt đang phát triển thế nào?,https://vnexpress.net/he-sinh-thai-khoi-nghiep-sang-tao-viet-dang-phat-trien-the-nao-4821458.html,
Tiến sĩ người Việt được bầu vào Viện Hàn lâm Khoa học trẻ toàn cầu,https://vnexpress.net/tien-si-nguoi-viet-duoc-bau-vao-vien-han-lam-khoa-hoc-tre-toan-cau-4863365.html,
Nhà khoa học Việt tìm dấu vết nước trên Sao Hỏa,https://vnexpress.net/nha-khoa-hoc-viet-tim-dau-vet-nuoc-tren-sao-hoa-4857476.html,
Gần hai thập kỷ nghiên cứu bệnh loạn dưỡng cơ Duchenne của nữ giáo sư,https://vnexpress.net/gan-hai-thap-ky-nghien-cuu-benh-loan-duong-co-duchenne-cua-nu-giao-su-4844426.html,
Nhiều nghiên cứu thắng giải Kovalevskaia được kết nối chuyển giao,https://vnexpress.net/nhieu-nghien-cuu-thang-giai-kovalevskaia-duoc-ket-noi-chuyen-giao-4868581.html,"HÀ NỘICác tác giả xuất sắc nhận Giải Kovalevskaia được hỗ trợ kết nối, phát triển nghiên cứu và khai thác ứng dụng, mang lại giá trị kinh tế."
199 hồ sơ vào vòng loại cuộc thi Sáng kiến Khoa học 2025,https://vnexpress.net/199-ho-so-vao-vong-loai-cuoc-thi-sang-kien-khoa-hoc-2025-4868615.html,Cuộc thi Sáng kiến Khoa học do VnExpress tổ chức bắt đầu bình chọn vòng loại với 199 hồ sơ tranh tài trong thời gian 2 tuần (từ 1/4 đến 14/4).
Cách bảo vệ bản thân khi xảy ra động đất,https://vnexpress.net/cach-bao-ve-ban-than-khi-xay-ra-dong-dat-4868557.html,"Khi xảy ra động đất, bạn đừng cố gắng bỏ chạy, hãy tuân thủ theo các hướng dẫn an toàn để tránh rủi ro và đảm bảo bản thân không gặp nguy hiểm."
